Language;Group;Speaker;Grapheme;Task;File;Word;Plosion_index;VOT;Length;Gender;Burst
French;Monolinguals;201;v;naming;b__201_picnam_vautour;vautour;4.85013774;46.938776;51.927438;F;
French;Monolinguals;201;v;naming;b__201_picnam_veau;veau;4.916890375;90.294785;95.283447;F;
French;Monolinguals;201;v;naming;b__201_picnam_veilleuse;veilleuse;20.63275849;42.086168;47.07483;F;
French;Monolinguals;201;v;naming;b__201_picnam_ver;ver;5.568810815;102.902494;130.38565;F;
French;Monolinguals;201;v;naming;b__201_picnam_verrou;verrou;7.968084464;62.902494;82.38565;F;
French;Monolinguals;201;v;naming;b__201_picnam_veste;veste;4.50623318;46.825397;51.814059;F;
French;Monolinguals;201;v;naming;b__201_picnam_viande;viande;2.811121991;77.097119;82.085781;F;
French;Monolinguals;201;v;naming;b__201_picnam_vide;vide;6.004198643;41.678005;56.649233;F;
French;Monolinguals;201;v;naming;b__201_picnam_village;village;7.18618638;16.654632;29.892929;F;
French;Monolinguals;201;v;naming;b__201_picnam_ville;ville;7.662994618;63.605442;111.424356;F;
French;Monolinguals;201;v;naming;b__201_picnam_visage;visage;13.62649613;27.454087;56.75737;F;
French;Monolinguals;201;v;naming;b__201_picnam_vitrine;vitrine;2.770690076;44.685027;74.528314;F;
French;Monolinguals;201;v;naming;b__201_picnam_voiture;voiture;2.790446132;67.39229;72.380952;F;
French;Monolinguals;201;v;naming;b__201_picnam_volet;volet;4.475063971;91.427273;104.227091;F;
French;Monolinguals;201;v;naming;b__201_picnam_voleur;voleur;5.419067067;76.798909;91.427273;F;
French;Monolinguals;201;v;naming;b__201_picnam_voûte;voûte;2.914924335;87.823206;107.485117;F;
French;Monolinguals;201;v;PW;b__201_PW_vabin;vabin;5.193691063;81.021479;88.483984;F;
French;Monolinguals;201;v;PW;b__201_PW_vaident;vaident;4.275200223;81.021479;95.946488;F;
French;Monolinguals;201;v;PW;b__201_PW_vame;vame;4.916134767;92.798698;102.76644;F;
French;Monolinguals;201;v;PW;b__201_PW_varouse;varouse;4.064371963;42.642884;56.501821;F;
French;Monolinguals;201;v;PW;b__201_PW_vaupans;vaupans;3.335853171;47.973244;67.162542;F;
French;Monolinguals;201;v;PW;b__201_PW_veillade;veillade;8.702816088;58.633965;97.01256;F;
French;Monolinguals;201;v;PW;b__201_PW_verrile;verrile;4.122913291;82.138791;87.127453;F;
