;Unnamed: 0;Language;Group;Speaker;Grapheme;Task;File;Problem;Word;Plosive_Index;VOT;Length;Gender;Fricatived
54;54;French;Monolinguals;201;b;reading;b__201_read_bonnet;;bonnet;9.013930713999999;53.287275;66.284171;F;False
55;55;French;Monolinguals;201;b;reading;b__201_read_bossu;;bossu;14.85544596;56.122449;61.111111;F;False
56;56;French;Monolinguals;201;b;reading;b__201_read_bout;;bout;9.307603177999999;27.902258000000003;39.599465;F;False
57;57;French;Monolinguals;201;b;reading;b__201_read_boîtier;;boîtier;30.79546357;31.860692999999994;50.952381;F;False
58;58;French;Monolinguals;201;b;reading;b__201_read_béquille;;béquille;16.90591017;44.535146999999995;49.52381000000001;F;False
59;59;French;Monolinguals;201;v;naming;b__201_picnam_vaisseau;;vaisseau;9.245170647;70.136054;75.124717;F;False
60;60;French;Monolinguals;201;v;naming;b__201_picnam_valet;;valet;6.123705472;59.16161500000001;75.69229700000002;F;False
61;61;French;Monolinguals;201;v;naming;b__201_picnam_valise;;valise;9.714082692;41.736417;65.81511900000001;F;False
62;62;French;Monolinguals;201;v;naming;b__201_picnam_vase;;vase;4.231658552;72.92716899999998;77.91583100000003;F;False
63;63;French;Monolinguals;201;v;naming;b__201_picnam_vautour;;vautour;4.85013774;46.938776000000004;51.927438;F;False
64;64;French;Monolinguals;201;v;naming;b__201_picnam_veau;;veau;4.916890375;90.294785;95.283447;F;False
65;65;French;Monolinguals;201;v;naming;b__201_picnam_veilleuse;;veilleuse;20.63275849;42.086168;47.07483;F;False
66;66;French;Monolinguals;201;v;naming;b__201_picnam_ver;;ver;5.568810815;102.90249399999999;130.38565;F;False
67;67;French;Monolinguals;201;v;naming;b__201_picnam_verrou;;verrou;7.968084463999999;62.902494;82.38565;F;False
68;68;French;Monolinguals;201;v;naming;b__201_picnam_veste;;veste;4.50623318;46.825397;51.814059;F;False
69;69;French;Monolinguals;201;v;naming;b__201_picnam_viande;;viande;2.8111219910000003;77.09711899999998;82.08578100000003;F;False
70;70;French;Monolinguals;201;v;naming;b__201_picnam_vide;;vide;6.004198643;41.678005;56.649233;F;False
71;71;French;Monolinguals;201;v;naming;b__201_picnam_village;;village;7.18618638;16.654632;29.892929;F;False
72;72;French;Monolinguals;201;v;naming;b__201_picnam_ville;;ville;7.662994618;63.605442;111.424356;F;False
73;73;French;Monolinguals;201;v;naming;b__201_picnam_visage;;visage;13.62649613;27.454087;56.75737;F;False
74;74;French;Monolinguals;201;v;naming;b__201_picnam_vitrine;;vitrine;2.770690076;44.68502700000001;74.528314;F;False
75;75;French;Monolinguals;201;v;naming;b__201_picnam_voiture;;voiture;2.790446132;67.39228999999999;72.38095200000002;F;False
76;76;French;Monolinguals;201;v;naming;b__201_picnam_volet;;volet;4.475063971;91.427273;104.227091;F;False
77;77;French;Monolinguals;201;v;naming;b__201_picnam_voleur;;voleur;5.419067067;76.798909;91.427273;F;False
78;78;French;Monolinguals;201;v;naming;b__201_picnam_voûte;;voûte;2.914924335;87.823206;107.485117;F;False
79;79;French;Monolinguals;201;v;PW;b__201_PW_vabin;;vabin;5.193691063;81.02147900000001;88.48398399999998;F;False
80;80;French;Monolinguals;201;v;PW;b__201_PW_vaident;;vaident;4.275200223;81.02147900000001;95.946488;F;False
81;81;French;Monolinguals;201;v;PW;b__201_PW_vame;;vame;4.916134767;92.798698;102.76644;F;False
82;82;French;Monolinguals;201;v;PW;b__201_PW_varouse;;varouse;4.064371963;42.64288400000001;56.501821;F;False
